ID,Class
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,0
